INPUT1,OUTPUT
1,4
2,8
3,12
4,16
5,20
6,24
7,28
8,32
9,36
10,40
11,44
12,48
13,52
14,56
15,60
16,64
17,68
18,72
19,76
20,80
21,84
22,88
23,92
24,96
25,100
26,104
27,108
28,112
29,116
30,120
31,124
32,128
33,132
34,136
35,140
36,144
37,148
38,152
39,156
40,160
41,164
42,168
43,172
44,176
45,180
46,184
47,188
48,192
49,196
50,200
51,204
52,208
53,212
54,216
55,220
56,224
57,228
58,232
59,236
60,240
61,244
62,248
63,252
64,256
65,260
66,264
67,268
68,272
69,276
70,280
71,284
72,288
73,292
74,296
75,300
76,304
77,308
78,312
79,316
80,320
81,324
82,328
83,332
84,336
85,340
86,344
87,348
88,352
89,356
90,360
91,364
92,368
93,372
94,376
95,380
96,384
97,388
98,392
99,396
100,400
101,404
102,408
103,412
104,416
105,420
106,424
107,428
108,432
109,436
110,440
111,444
112,448
113,452
114,456
115,460
116,464
117,468
118,472
119,476
120,480
121,484
122,488
123,492
124,496
125,500
126,504
127,508
128,512
129,516
130,520
131,524
132,528
133,532
134,536
135,540
136,544
137,548
138,552
139,556
140,560
141,564
142,568
143,572
144,576
145,580
146,584
147,588
148,592
149,596
150,600
151,604
152,608
153,612
154,616
155,620
156,624
157,628
158,632
159,636
160,640
161,644
162,648
163,652
164,656
165,660
166,664
167,668
168,672
169,676
170,680
171,684
172,688
173,692
174,696
175,700
176,704
177,708
178,712
179,716
180,720
181,724
182,728
183,732
184,736
185,740
186,744
187,748
188,752
189,756
190,760
191,764
192,768
193,772
194,776
195,780
196,784
197,788
198,792
199,796
200,800
201,804
202,808
203,812
204,816
205,820
206,824
207,828
208,832
209,836
210,840
211,844
212,848
213,852
214,856
215,860
216,864
217,868
218,872
219,876
220,880
221,884
222,888
223,892
224,896
225,900
226,904
227,908
228,912
229,916
230,920
231,924
232,928
233,932
234,936
235,940
236,944
237,948
238,952
239,956
240,960
241,964
242,968
243,972
244,976
245,980
246,984
247,988
248,992
249,996
250,1000
251,1004
252,1008
253,1012
254,1016
255,1020
256,1024
257,1028
258,1032
259,1036
260,1040
261,1044
262,1048
263,1052
264,1056
265,1060
266,1064
267,1068
268,1072
269,1076
270,1080
271,1084
272,1088
273,1092
274,1096
275,1100
276,1104
277,1108
278,1112
279,1116
280,1120
281,1124
282,1128
283,1132
284,1136
285,1140
286,1144
287,1148
288,1152
289,1156
290,1160
291,1164
292,1168
293,1172
294,1176
295,1180
296,1184
297,1188
298,1192
299,1196
300,1200
301,1204
302,1208
303,1212
304,1216
305,1220
306,1224
307,1228
308,1232
309,1236
310,1240
311,1244
312,1248
313,1252
314,1256
315,1260
316,1264
317,1268
318,1272
319,1276
320,1280
321,1284
322,1288
323,1292
324,1296
325,1300
326,1304
327,1308
328,1312
329,1316
330,1320
331,1324
332,1328
333,1332
334,1336
335,1340
336,1344
337,1348
338,1352
339,1356
340,1360
341,1364
342,1368
343,1372
344,1376
345,1380
346,1384
347,1388
348,1392
349,1396
350,1400
351,1404
352,1408
353,1412
354,1416
355,1420
356,1424
357,1428
358,1432
359,1436
360,1440
361,1444
362,1448
363,1452
364,1456
365,1460
366,1464
367,1468
368,1472
369,1476
370,1480
371,1484
372,1488
373,1492
374,1496
375,1500
376,1504
377,1508
378,1512
379,1516
380,1520
381,1524
382,1528
383,1532
384,1536
385,1540
386,1544
387,1548
388,1552
389,1556
390,1560
391,1564
392,1568
393,1572
394,1576
395,1580
396,1584
397,1588
398,1592
399,1596
400,1600
401,1604
402,1608
403,1612
404,1616
405,1620
406,1624
407,1628
408,1632
409,1636
410,1640
411,1644
412,1648
413,1652
414,1656
415,1660
416,1664
417,1668
418,1672
419,1676
420,1680
421,1684
422,1688
423,1692
424,1696
425,1700
426,1704
427,1708
428,1712
429,1716
430,1720
431,1724
432,1728
433,1732
434,1736
435,1740
436,1744
437,1748
438,1752
439,1756
440,1760
441,1764
442,1768
443,1772
444,1776
445,1780
446,1784
447,1788
448,1792
449,1796
450,1800
451,1804
452,1808
453,1812
454,1816
455,1820
456,1824
457,1828
458,1832
459,1836
460,1840
461,1844
462,1848
463,1852
464,1856
465,1860
466,1864
467,1868
468,1872
469,1876
470,1880
471,1884
472,1888
473,1892
474,1896
475,1900
476,1904
477,1908
478,1912
479,1916
480,1920
481,1924
482,1928
483,1932
484,1936
485,1940
486,1944
487,1948
488,1952
489,1956
490,1960
491,1964
492,1968
493,1972
494,1976
495,1980
496,1984
497,1988
498,1992
499,1996
500,2000
501,2004
502,2008
503,2012
504,2016
505,2020
506,2024
507,2028
508,2032
509,2036
510,2040
511,2044
512,2048
513,2052
514,2056
515,2060
516,2064
517,2068
518,2072
519,2076
520,2080
521,2084
522,2088
523,2092
524,2096
525,2100
526,2104
527,2108
528,2112
529,2116
530,2120
531,2124
532,2128
533,2132
534,2136
535,2140
536,2144
537,2148
538,2152
539,2156
540,2160
541,2164
542,2168
543,2172
544,2176
545,2180
546,2184
547,2188
548,2192
549,2196
550,2200
551,2204
552,2208
553,2212
554,2216
555,2220
556,2224
557,2228
558,2232
559,2236
560,2240
561,2244
562,2248
563,2252
564,2256
565,2260
566,2264
567,2268
568,2272
569,2276
570,2280
571,2284
572,2288
573,2292
574,2296
575,2300
576,2304
577,2308
578,2312
579,2316
580,2320
581,2324
582,2328
583,2332
584,2336
585,2340
586,2344
587,2348
588,2352
589,2356
590,2360
591,2364
592,2368
593,2372
594,2376
595,2380
596,2384
597,2388
598,2392
599,2396
600,2400
601,2404
602,2408
603,2412
604,2416
605,2420
606,2424
607,2428
608,2432
609,2436
610,2440
611,2444
612,2448
613,2452
614,2456
615,2460
616,2464
617,2468
618,2472
619,2476
620,2480
621,2484
622,2488
623,2492
624,2496
625,2500
626,2504
627,2508
628,2512
629,2516
630,2520
631,2524
632,2528
633,2532
634,2536
635,2540
636,2544
637,2548
638,2552
639,2556
640,2560
641,2564
642,2568
643,2572
644,2576
645,2580
646,2584
647,2588
648,2592
649,2596
650,2600
651,2604
652,2608
653,2612
654,2616
655,2620
656,2624
